Responden;Minat Beli Ulang (Y);Promosi Penjualan (X1);Experiential Marketing (X2);Kualitas Produk (X3);Kualitas Pelayanan (X4);;;;;;;;;;;
95;21;12;30;33;30;;;;;;;;;;;
96;21;13;29;32;29;;;;;;;;;;;
97;20;13;32;35;32;;;;;;;;;;;
98;17;9;31;34;29;;;;;;;;;;;
99;21;12;31;32;31;;;;;;;;;;;
100;19;12;30;35;29;;;;;;;;;;;
101;22;13;27;34;32;;;;;;;;;;;
102;21;12;30;34;36;;;;;;;;;;;
103;20;13;30;29;32;;;;;;;;;;;
104;19;12;29;31;28;;;;;;;;;;;
105;19;12;24;31;26;;;;;;;;;;;
106;19;12;21;31;27;;;;;;;;;;;
107;21;12;37;33;37;;;;;;;;;;;
108;22;13;34;32;34;;;;;;;;;;;
109;19;13;29;34;30;;;;;;;;;;;
110;21;14;30;34;30;;;;;;;;;;;
111;21;14;30;31;30;;;;;;;;;;;
112;21;11;30;34;30;;;;;;;;;;;
113;21;12;32;35;35;;;;;;;;;;;
114;21;12;30;32;30;;;;;;;;;;;
115;16;13;27;28;27;;;;;;;;;;;
116;23;16;29;32;30;;;;;;;;;;;
117;17;12;25;29;30;;;;;;;;;;;
118;22;13;30;33;30;;;;;;;;;;;
119;21;13;30;29;31;;;;;;;;;;;
120;21;16;30;33;28;;;;;;;;;;;
121;22;14;31;36;30;;;;;;;;;;;
122;17;10;23;27;28;;;;;;;;;;;
123;25;12;33;37;40;;;;;;;;;;;
124;20;12;27;32;30;;;;;;;;;;;
125;21;11;30;32;30;;;;;;;;;;;
126;22;13;28;33;30;;;;;;;;;;;
127;21;12;28;33;30;;;;;;;;;;;
128;21;12;30;32;30;;;;;;;;;;;
129;21;13;31;35;30;;;;;;;;;;;
130;22;12;27;30;30;;;;;;;;;;;
131;21;12;30;32;29;;;;;;;;;;;
132;26;15;39;40;37;;;;;;;;;;;
133;22;13;32;37;31;;;;;;;;;;;
134;22;13;31;33;30;;;;;;;;;;;
135;16;9;30;32;30;;;;;;;;;;;
136;17;11;25;30;27;;;;;;;;;;;
137;16;12;22;28;23;;;;;;;;;;;
138;21;12;29;33;31;;;;;;;;;;;
139;21;12;24;29;26;;;;;;;;;;;
140;21;12;32;29;30;;;;;;;;;;;
141;22;12;30;34;30;;;;;;;;;;;
142;20;12;30;33;30;;;;;;;;;;;
143;19;12;30;35;29;;;;;;;;;;;
144;23;15;30;36;29;;;;;;;;;;;
145;20;12;31;33;34;;;;;;;;;;;
146;24;12;30;34;31;;;;;;;;;;;
147;21;13;30;36;30;;;;;;;;;;;
148;18;11;28;27;29;;;;;;;;;;;
149;23;14;32;33;37;;;;;;;;;;;
150;21;13;28;25;28;;;;;;;;;;;
151;23;14;32;35;34;;;;;;;;;;;
152;17;14;20;26;26;;;;;;;;;;;
153;17;12;22;30;32;;;;;;;;;;;
154;21;12;32;28;29;;;;;;;;;;;
155;21;12;31;31;31;;;;;;;;;;;
156;21;12;28;32;31;;;;;;;;;;;
157;27;12;40;43;40;;;;;;;;;;;
158;28;16;40;41;40;;;;;;;;;;;
159;22;14;28;35;39;;;;;;;;;;;
160;16;10;28;32;30;;;;;;;;;;;
161;24;13;31;39;35;;;;;;;;;;;
162;27;12;31;40;30;;;;;;;;;;;
163;13;12;22;26;29;;;;;;;;;;;
164;22;12;32;40;31;;;;;;;;;;;
165;21;14;30;34;30;;;;;;;;;;;
166;15;13;24;26;28;;;;;;;;;;;
167;23;14;35;37;35;;;;;;;;;;;
168;24;13;34;39;32;;;;;;;;;;;
169;27;16;32;35;30;;;;;;;;;;;
170;16;11;29;26;30;;;;;;;;;;;
171;26;14;36;37;38;;;;;;;;;;;
172;24;15;31;36;35;;;;;;;;;;;
173;22;13;30;42;40;;;;;;;;;;;
174;27;15;33;37;34;;;;;;;;;;;
175;24;13;30;33;33;;;;;;;;;;;
176;25;14;30;34;34;;;;;;;;;;;
177;27;14;35;35;40;;;;;;;;;;;
178;21;12;29;35;30;;;;;;;;;;;
179;24;14;37;34;37;;;;;;;;;;;
180;20;10;29;28;30;;;;;;;;;;;
181;21;16;31;33;30;;;;;;;;;;;
182;21;14;27;33;30;;;;;;;;;;;
183;21;12;29;33;40;;;;;;;;;;;
184;22;12;31;36;40;;;;;;;;;;;
185;21;12;30;33;30;;;;;;;;;;;
186;21;12;30;34;30;;;;;;;;;;;
187;20;12;24;30;30;;;;;;;;;;;
188;21;12;30;32;30;;;;;;;;;;;
189;21;12;30;32;30;;;;;;;;;;;
190;21;12;30;33;30;;;;;;;;;;;
191;22;16;30;33;30;;;;;;;;;;;
192;20;12;30;33;30;;;;;;;;;;;
193;19;15;29;39;29;;;;;;;;;;;
194;18;15;27;36;30;;;;;;;;;;;
195;22;12;29;33;29;;;;;;;;;;;
196;21;14;34;32;30;;;;;;;;;;;
197;22;12;30;32;30;;;;;;;;;;;
198;25;12;28;34;34;;;;;;;;;;;
199;22;12;30;33;30;;;;;;;;;;;
200;21;12;28;35;30;;;;;;;;;;;
201;20;14;33;38;30;;;;;;;;;;;
202;21;12;30;34;34;;;;;;;;;;;
203;21;12;35;38;36;;;;;;;;;;;
204;22;13;29;39;37;;;;;;;;;;;
205;20;13;23;27;30;;;;;;;;;;;
206;21;14;30;35;28;;;;;;;;;;;
207;21;14;26;29;26;;;;;;;;;;;
208;15;12;24;24;26;;;;;;;;;;;
209;27;12;31;34;30;;;;;;;;;;;
210;27;12;31;34;30;;;;;;;;;;;
211;21;13;28;27;30;;;;;;;;;;;
212;18;12;26;32;28;;;;;;;;;;;
213;16;12;24;30;30;;;;;;;;;;;
214;20;12;32;34;30;;;;;;;;;;;
215;21;12;30;31;30;;;;;;;;;;;
216;19;15;30;34;32;;;;;;;;;;;
217;23;14;32;37;36;;;;;;;;;;;
218;26;16;31;32;39;;;;;;;;;;;
219;21;15;30;33;30;;;;;;;;;;;
220;22;12;30;33;32;;;;;;;;;;;
221;22;12;31;34;32;;;;;;;;;;;
222;16;11;34;39;32;;;;;;;;;;;
223;18;12;30;32;30;;;;;;;;;;;
224;21;12;30;32;30;;;;;;;;;;;
225;20;12;29;32;30;;;;;;;;;;;
226;21;14;26;29;28;;;;;;;;;;;
227;21;12;28;35;32;;;;;;;;;;;
228;18;12;30;37;35;;;;;;;;;;;
229;24;12;30;32;30;;;;;;;;;;;
230;20;13;30;32;28;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
